Nº;Bloque;Área;Subárea;Título resumido;Norma principal;Palabras clave;Relaciones (Nº);Peso;Dificultad (1-5);Enlace BOE / oficial;Enlace recurso
1;A;Ciencias Jurídicas;Teoría del Derecho;Ordenamiento jurídico y fuentes del Derecho;Código Civil (Título Preliminar);fuentes, ley, costumbre, jurisprudencia, TEDH, TJUE;4,8,9,10;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1889-4763;https://es.wikipedia.org/wiki/Fuentes_del_Derecho
2;A;Ciencias Jurídicas;Derecho Civil - Persona;La persona física y jurídica. Capacidad. Emancipación;Código Civil arts. 29-34, 314-324;persona, capacidad jurídica, capacidad obrar, emancipación, estado civil;3;Bajo;2;https://www.boe.es/buscar/act.php?id=BOE-A-1889-4763;https://es.wikipedia.org/wiki/Persona_(Derecho)
3;A;Ciencias Jurídicas;Derecho Civil - Persona;Nacionalidad, vecindad, domicilio, ausencia, muerte;Código Civil arts. 17-28, 40-42, 181-198;nacionalidad, doble nacionalidad, refugiado, apátrida, premoriencia;2,15,17;Bajo;2;https://www.boe.es/buscar/act.php?id=BOE-A-1889-4763;https://es.wikipedia.org/wiki/Nacionalidad_espa%C3%B1ola
4;A;Ciencias Jurídicas;Derecho Constitucional;La Constitución: concepto, clases y reforma;CE 1978;Constitución, reforma constitucional, norma jurídica;1,5,6,7,43;Alto;3;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229;https://www.congreso.es/constitucion/constitucion/indice
5;A;Ciencias Jurídicas;Derecho Constitucional;Derechos fundamentales y libertades públicas;CE Título I (arts. 14-55);DDFF, igualdad, recurso amparo, Defensor del Pueblo, suspensión derechos;4,9,43,55;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229;https://www.tribunalconstitucional.es/
6;A;Ciencias Jurídicas;Derecho Constitucional;Órganos constitucionales;CE Títulos II-IX;Corona, Cortes, Gobierno, CGPJ, TC;4,11,43;Alto;3;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229;https://www.congreso.es/
7;A;Ciencias Jurídicas;Derecho Constitucional;Organización territorial. Estado autonómico;CE Título VIII;CCAA, autonomía local, Estado regional;4,14;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229;https://es.wikipedia.org/wiki/Organizaci%C3%B3n_territorial_de_Espa%C3%B1a
8;A;Ciencias Jurídicas;Derecho UE;Unión Europea. Tratados, Derecho derivado, Schengen;TFUE, TUE;UE, tratados, Schengen, JAI;1,9,17,24;Medio;3;https://eur-lex.europa.eu/collection/eu-law/treaties.html;https://european-union.europa.eu/index_es
9;A;Ciencias Jurídicas;Derecho UE;TEDH, TJUE y Fiscalía Europea;CEDH; Reg. UE 2017/1939;TEDH, TJUE, Fiscalía Europea, CEDH;1,5,8,24;Medio;3;https://www.echr.coe.int/;https://curia.europa.eu/
10;A;Ciencias Jurídicas;Derecho Administrativo;Derecho Administrativo. Acto y procedimiento;Ley 39/2015;acto administrativo, reglamento, procedimiento, nulidad;1,11,12;Alto;4;https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565;https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566
11;A;Ciencias Jurídicas;Derecho Administrativo;Gobierno y AGE;Ley 50/1997; Ley 40/2015;Gobierno, AGE, órganos superiores y directivos;6,10,12,13;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-1997-24902;https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566
12;A;Ciencias Jurídicas;Derecho Administrativo;Empleados públicos. EBEP;RDLeg 5/2015 (EBEP);funcionario, situaciones administrativas, derechos y deberes;10,11,14;Medio;3;https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719;https://www.mptfp.gob.es/
13;A;Ciencias Jurídicas;Organización policial;Ministerio del Interior. SES. DGP. Seguridad Privada;Real Decreto estructura Interior;Interior, SES, DGP, CNP, seguridad privada;11,14,18;Alto;3;https://www.interior.gob.es/;https://www.policia.es/
